Cust_Id,Recency,Frequency,Monetary
27992,132,1,2.29
28016,172,1,2.29
28093,192,1,2.29
27991,197,1,2.29
28968,225,1,2.29
28781,238,1,2.29
28776,259,1,2.29
28095,277,1,2.29
27993,330,1,2.29
28300,354,1,2.29
28094,403,1,2.29
25544,76,1,3.99
22660,77,1,3.99
17819,78,1,3.99
27989,83,1,3.99
26863,85,1,3.99
26820,87,1,3.99
27927,97,1,3.99
20961,98,1,3.99
24553,98,1,3.99
29076,105,1,3.99
29061,111,1,3.99
29131,111,1,3.99
22805,115,1,3.99
24538,125,1,3.99
26901,130,1,3.99
25753,141,1,3.99
20956,145,1,3.99
23912,149,1,3.99
24150,161,1,3.99
29269,177,1,3.99
24562,179,1,3.99
23604,186,1,3.99
29083,186,1,3.99
17818,196,1,3.99
19481,208,1,3.99
29051,209,1,3.99
23916,213,1,3.99
20840,219,1,3.99
23634,230,1,3.99
27165,231,1,3.99
24129,245,1,3.99
25313,249,1,3.99
22568,257,1,3.99
24535,260,1,3.99
20795,265,1,3.99
25477,283,1,3.99
23611,290,1,3.99
24691,308,1,3.99
29153,321,1,3.99
27164,323,1,3.99
27730,329,1,3.99
23953,332,1,3.99
27221,336,1,3.99
24108,339,1,3.99
17820,347,1,3.99
22710,347,1,3.99
24572,349,1,3.99
24078,357,1,3.99
20942,371,1,3.99
24120,371,1,3.99
19516,372,1,3.99
20948,372,1,3.99
27929,373,1,3.99
20178,375,1,3.99
23623,402,1,3.99
26911,402,1,3.99
27806,405,1,3.99
17649,410,1,3.99
25547,414,1,3.99
24561,417,1,3.99
27331,422,1,3.99
21347,62,1,4.99
15300,64,1,4.99
17391,65,1,4.99
18668,66,1,4.99
22493,66,1,4.99
16245,67,1,4.99
17697,67,1,4.99
18070,67,1,4.99
22802,69,1,4.99
28277,69,1,4.99
16768,70,1,4.99
24593,71,1,4.99
18499,72,1,4.99
22858,74,1,4.99
18385,76,1,4.99
17673,78,1,4.99
25785,78,1,4.99
16008,79,1,4.99
25456,79,1,4.99
16815,80,1,4.99
16024,81,1,4.99
22382,81,1,4.99
15381,82,1,4.99
18555,82,1,4.99
23363,84,1,4.99
16816,86,1,4.99
14583,87,1,4.99
16240,88,1,4.99
16274,88,1,4.99
18153,88,1,4.99
22521,88,1,4.99
16757,90,1,4.99
24967,91,1,4.99
14689,92,1,4.99
21825,92,1,4.99
25367,92,1,4.99
23518,93,1,4.99
18434,94,1,4.99
17523,95,1,4.99
19638,95,1,4.99
15960,96,1,4.99
19404,96,1,4.99
26051,96,1,4.99
16499,98,1,4.99
17472,98,1,4.99
28924,99,1,4.99
27591,100,1,4.99
16853,101,1,4.99
17550,102,1,4.99
24240,102,1,4.99
16966,104,1,4.99
19210,104,1,4.99
24134,104,1,4.99
15818,106,1,4.99
16084,106,1,4.99
24207,106,1,4.99
16671,108,1,4.99
27934,108,1,4.99
28125,108,1,4.99
14721,109,1,4.99
22755,109,1,4.99
15360,111,1,4.99
17131,111,1,4.99
16917,112,1,4.99
24575,112,1,4.99
15412,113,1,4.99
23308,113,1,4.99
24891,113,1,4.99
16858,114,1,4.99
24376,114,1,4.99
17132,116,1,4.99
21306,116,1,4.99
22829,116,1,4.99
23427,117,1,4.99
24731,117,1,4.99
15746,118,1,4.99
22532,118,1,4.99
28328,119,1,4.99
16988,120,1,4.99
21869,120,1,4.99
17429,121,1,4.99
15550,122,1,4.99
16047,123,1,4.99
16722,123,1,4.99
15956,124,1,4.99
24258,124,1,4.99
25247,124,1,4.99
14766,126,1,4.99
15387,126,1,4.99
14922,127,1,4.99
17452,128,1,4.99
21076,128,1,4.99
24152,128,1,4.99
18230,129,1,4.99
24566,130,1,4.99
22662,131,1,4.99
20079,132,1,4.99
25340,133,1,4.99
26387,133,1,4.99
17684,134,1,4.99
27110,137,1,4.99
16903,139,1,4.99
17160,139,1,4.99
17173,139,1,4.99
21032,139,1,4.99
14527,141,1,4.99
14607,141,1,4.99
18397,144,1,4.99
27031,144,1,4.99
28310,144,1,4.99
16650,145,1,4.99
23488,145,1,4.99
27950,145,1,4.99
16766,147,1,4.99
17587,147,1,4.99
18453,147,1,4.99
18779,148,1,4.99
14630,149,1,4.99
16669,149,1,4.99
24986,149,1,4.99
25433,150,1,4.99
27997,150,1,4.99
28768,150,1,4.99
29039,153,1,4.99
15421,154,1,4.99
20269,154,1,4.99
21674,154,1,4.99
24369,154,1,4.99
27947,154,1,4.99
17166,156,1,4.99
18421,156,1,4.99
12811,157,1,4.99
16842,157,1,4.99
15857,159,1,4.99
21866,159,1,4.99
13824,162,1,4.99
14513,162,1,4.99
28252,163,1,4.99
16769,165,1,4.99
22387,167,1,4.99
23657,167,1,4.99
24132,167,1,4.99
15416,168,1,4.99
28906,168,1,4.99
16817,169,1,4.99
28358,169,1,4.99
17344,170,1,4.99
21277,170,1,4.99
23437,170,1,4.99
16904,172,1,4.99
19753,172,1,4.99
14628,173,1,4.99
17520,173,1,4.99
23945,173,1,4.99
24744,173,1,4.99
18661,175,1,4.99
26730,175,1,4.99
27188,175,1,4.99
22918,176,1,4.99
15573,177,1,4.99
24045,177,1,4.99
26176,180,1,4.99
15907,181,1,4.99
15982,181,1,4.99
16960,181,1,4.99
21546,182,1,4.99
24600,182,1,4.99
18750,183,1,4.99
28123,184,1,4.99
17377,185,1,4.99
24122,186,1,4.99
15258,187,1,4.99
21823,187,1,4.99
22530,188,1,4.99
17473,189,1,4.99
21850,189,1,4.99
17603,190,1,4.99
19431,190,1,4.99
22386,192,1,4.99
16775,193,1,4.99
22960,194,1,4.99
16737,195,1,4.99
25132,195,1,4.99
17606,196,1,4.99
24825,197,1,4.99
26180,198,1,4.99
18404,199,1,4.99
19938,199,1,4.99
22801,199,1,4.99
27019,199,1,4.99
18425,201,1,4.99
19644,201,1,4.99
19748,202,1,4.99
18531,203,1,4.99
29003,204,1,4.99
17534,205,1,4.99
18072,205,1,4.99
23012,205,1,4.99
23347,206,1,4.99
24607,207,1,4.99
25298,207,1,4.99
27034,207,1,4.99
25784,208,1,4.99
17454,209,1,4.99
16501,210,1,4.99
17265,210,1,4.99
22730,210,1,4.99
20099,211,1,4.99
27334,211,1,4.99
15966,213,1,4.99
18402,214,1,4.99
27039,214,1,4.99
15386,216,1,4.99
22589,216,1,4.99
16357,217,1,4.99
23553,217,1,4.99
28280,217,1,4.99
17395,218,1,4.99
21376,218,1,4.99
17408,219,1,4.99
17688,219,1,4.99
19370,220,1,4.99
24487,220,1,4.99
14763,224,1,4.99
15533,224,1,4.99
17113,224,1,4.99
17525,225,1,4.99
21859,225,1,4.99
15458,228,1,4.99
24111,228,1,4.99
26806,228,1,4.99
20407,229,1,4.99
25534,229,1,4.99
23535,230,1,4.99
21852,231,1,4.99
27913,232,1,4.99
27592,233,1,4.99
17440,234,1,4.99
17602,235,1,4.99
24380,236,1,4.99
25316,237,1,4.99
27628,238,1,4.99
13786,239,1,4.99
28911,239,1,4.99
16905,240,1,4.99
21860,240,1,4.99
19390,241,1,4.99
26678,241,1,4.99
27979,241,1,4.99
14620,242,1,4.99
18069,242,1,4.99
20978,242,1,4.99
21279,242,1,4.99
22557,243,1,4.99
27061,244,1,4.99
28306,244,1,4.99
19927,245,1,4.99
23476,245,1,4.99
16765,246,1,4.99
25349,246,1,4.99
14528,247,1,4.99
16644,247,1,4.99
25825,247,1,4.99
27204,247,1,4.99
21836,248,1,4.99
22856,249,1,4.99
25016,249,1,4.99
26270,249,1,4.99
28999,249,1,4.99
23345,250,1,4.99
29267,250,1,4.99
18405,252,1,4.99
25131,253,1,4.99
16063,255,1,4.99
15164,256,1,4.99
27414,256,1,4.99
20089,257,1,4.99
22859,259,1,4.99
24897,259,1,4.99
17689,260,1,4.99
18061,260,1,4.99
14729,261,1,4.99
17547,261,1,4.99
21725,262,1,4.99
16154,263,1,4.99
17432,263,1,4.99
28282,264,1,4.99
17532,265,1,4.99
23935,265,1,4.99
26226,265,1,4.99
17436,266,1,4.99
22015,266,1,4.99
23967,267,1,4.99
15680,269,1,4.99
23554,270,1,4.99
14942,272,1,4.99
23368,272,1,4.99
25002,272,1,4.99
16293,273,1,4.99
26802,273,1,4.99
23430,274,1,4.99
24857,275,1,4.99
21128,276,1,4.99
24816,276,1,4.99
25648,276,1,4.99
28151,276,1,4.99
14762,277,1,4.99
24805,277,1,4.99
15979,278,1,4.99
17426,280,1,4.99
27703,282,1,4.99
17434,283,1,4.99
25327,283,1,4.99
14609,285,1,4.99
25241,285,1,4.99
17174,286,1,4.99
23095,286,1,4.99
21010,287,1,4.99
16899,288,1,4.99
17538,288,1,4.99
20402,288,1,4.99
24464,290,1,4.99
28251,290,1,4.99
14899,291,1,4.99
22516,291,1,4.99
25466,291,1,4.99
17456,292,1,4.99
24881,292,1,4.99
21838,293,1,4.99
18099,294,1,4.99
28345,294,1,4.99
17168,295,1,4.99
17376,296,1,4.99
20088,297,1,4.99
21263,298,1,4.99
23892,299,1,4.99
17467,300,1,4.99
24649,300,1,4.99
14592,302,1,4.99
20967,302,1,4.99
28085,302,1,4.99
17541,305,1,4.99
23562,306,1,4.99
24630,306,1,4.99
25109,308,1,4.99
26350,308,1,4.99
15776,309,1,4.99
22558,309,1,4.99
25473,309,1,4.99
17430,313,1,4.99
28874,313,1,4.99
23673,315,1,4.99
19465,316,1,4.99
16503,318,1,4.99
16874,319,1,4.99
19363,319,1,4.99
15967,320,1,4.99
19919,322,1,4.99
15560,324,1,4.99
25141,325,1,4.99
20312,329,1,4.99
23129,329,1,4.99
24218,330,1,4.99
23643,331,1,4.99
17015,332,1,4.99
19928,332,1,4.99
20277,332,1,4.99
27049,332,1,4.99
15400,334,1,4.99
18510,334,1,4.99
26173,335,1,4.99
27022,335,1,4.99
25665,336,1,4.99
17357,338,1,4.99
21363,338,1,4.99
22488,338,1,4.99
17616,340,1,4.99
28286,340,1,4.99
16299,341,1,4.99
17335,342,1,4.99
22457,342,1,4.99
26232,342,1,4.99
19351,343,1,4.99
18106,344,1,4.99
21115,344,1,4.99
23346,345,1,4.99
14920,346,1,4.99
17694,346,1,4.99
15344,348,1,4.99
18179,348,1,4.99
19317,349,1,4.99
24109,352,1,4.99
24489,352,1,4.99
24763,352,1,4.99
14399,353,1,4.99
17339,355,1,4.99
18657,355,1,4.99
18182,356,1,4.99
15315,357,1,4.99
20419,358,1,4.99
28127,358,1,4.99
25299,359,1,4.99
17556,360,1,4.99
25507,360,1,4.99
23498,361,1,4.99
24703,361,1,4.99
25476,361,1,4.99
16003,362,1,4.99
18387,362,1,4.99
22380,362,1,4.99
17526,363,1,4.99
28266,363,1,4.99
24471,364,1,4.99
16992,365,1,4.99
23976,366,1,4.99
17104,367,1,4.99
21845,367,1,4.99
21114,368,1,4.99
26449,369,1,4.99
18423,371,1,4.99
21851,371,1,4.99
19933,372,1,4.99
22814,372,1,4.99
22772,373,1,4.99
24995,375,1,4.99
17169,377,1,4.99
17431,379,1,4.99
17488,379,1,4.99
18552,379,1,4.99
27836,379,1,4.99
27926,379,1,4.99
16860,384,1,4.99
16978,384,1,4.99
17449,384,1,4.99
22554,385,1,4.99
15423,386,1,4.99
17275,386,1,4.99
19463,387,1,4.99
17683,388,1,4.99
18424,388,1,4.99
19214,388,1,4.99
14629,389,1,4.99
22494,389,1,4.99
26026,389,1,4.99
27207,390,1,4.99
25804,391,1,4.99
23442,392,1,4.99
14788,393,1,4.99
17590,393,1,4.99
18123,393,1,4.99
22917,393,1,4.99
24895,393,1,4.99
15420,394,1,4.99
27995,394,1,4.99
28919,394,1,4.99
16381,396,1,4.99
25783,397,1,4.99
29230,397,1,4.99
23676,399,1,4.99
14909,400,1,4.99
17111,401,1,4.99
26488,401,1,4.99
14404,402,1,4.99
17137,403,1,4.99
23770,403,1,4.99
28248,403,1,4.99
28003,404,1,4.99
16039,406,1,4.99
24064,406,1,4.99
24894,407,1,4.99
27807,407,1,4.99
18111,409,1,4.99
17165,411,1,4.99
22559,411,1,4.99
29290,412,1,4.99
17014,413,1,4.99
12837,414,1,4.99
24415,414,1,4.99
15414,415,1,4.99
19327,415,1,4.99
17368,416,1,4.99
22491,416,1,4.99
17630,417,1,4.99
18569,418,1,4.99
21868,419,1,4.99
18102,420,1,4.99
23070,421,1,4.99
28533,421,1,4.99
17685,423,1,4.99
25801,424,1,4.99
29287,424,1,4.99
28274,425,1,4.99
19491,71,1,6.28
20899,71,1,6.28
25907,76,1,6.28
